genes	logFC	pval	pval_adj	direction
GRINA	-0.345446487873625	2.31775847693212e-05	0.00041589152305744	DOWN
GZMH	-0.450310307751966	0.000138389862227063	0.00167362234773477	DOWN
HDC	-0.34311487670794	2.67926313745336e-05	0.000464905575238936	DOWN
HINT1	0.67741236803243	3.02223702912294e-10	1.84822046643148e-07	UP
IFNGR1	0.289974406496658	0.000123337261811069	0.0015340623036389	UP
ITGA2B	-0.319369771742531	1.42959669662522e-05	0.000282757731245968	DOWN
ITGAL	-0.342131418430817	2.6444948862859e-12	1.99456619306637e-08	DOWN
JARID1D	0.369242217101022	8.45918894262983e-05	0.00113715771239264	UP
KIAA1600	0.351283555383057	2.93532263101072e-07	1.66043862929699e-05	UP
KIR3DL2	-0.432338787946344	1.30125246679067e-05	0.000262653341356579	DOWN
LBA1	-0.290300032045597	1.73741734556076e-08	2.35404444778463e-06	DOWN
LEPROTL1	0.367598716839231	6.13511252000729e-06	0.000146633735766912	UP
LMBRD1	0.316374005888365	7.92935647463948e-05	0.00108606264498588	UP
LOC158345	0.343650578584317	4.66716463556574e-06	0.000120277829395155	UP
LOC387867	0.332046162505895	1.45691159791178e-06	5.22433260316161e-05	UP
LOC388532	0.397638981746463	3.88466342089509e-05	0.000627844851604237	UP
LOC388654	0.519236131778694	1.48352882597242e-08	2.14176936344533e-06	UP
LOC389787	0.418864320869693	0.000567499578422264	0.0050415441542837	UP
LOC391656	0.759091563424922	5.20137211645204e-10	2.55850971476001e-07	UP
LOC402057	0.398102280988601	1.20820367538171e-10	1.3669012281431e-07	UP
LOC402251	0.31027172049096	8.02518968833261e-05	0.0010932327939669	UP
LOC402694	0.312554649911556	2.60674101129798e-05	0.000454062577849418	UP
LOC440313	-0.340420896862618	0.00548306162116392	0.0302008849323457	DOWN
LOC440359	-0.29066380515566	0.00560778643710264	0.03077019191693	DOWN
LOC440737	0.320928941260613	3.49339564766175e-05	0.000576550425380324	UP
LOC441246	0.355673378523978	1.39140051252778e-06	5.05348625954512e-05	UP
LOC641848	0.361417582971108	1.15269928048299e-07	8.70350304981074e-06	UP
LOC642250	0.37079967992895	6.48611114361096e-09	1.16646008205292e-06	UP
LOC643031	-0.399354819105346	2.56580388258684e-07	1.51583405878048e-05	DOWN
LOC643284	0.391966055962264	0.000437039667759234	0.00408463302866096	UP
LOC646766	0.368945519219732	3.38576941481645e-06	9.57622556863149e-05	UP
LOC647340	0.415082876899568	1.64622085954842e-10	1.47563253661635e-07	UP
LOC647361	0.39680984708923	1.1644812127493e-05	0.00023975174159125	UP
LOC647673	0.432658328008255	5.81112130193204e-09	1.11430713304082e-06	UP
LOC648000	0.642464490924921	2.58551275414031e-08	3.15210816861615e-06	UP
LOC648622	0.59335487068298	3.14791622346917e-06	9.02761728624042e-05	UP
LOC649049	0.402758750792058	8.83847603640726e-08	7.23194686656781e-06	UP
LOC650276	0.640277248806997	2.4808258056732e-08	3.10070160528952e-06	UP
LOC650518	0.492549640192021	2.44613237771744e-10	1.7131841762851e-07	UP
LOC651202	0.3452552555	7.08274245288164e-07	3.11186822293889e-05	UP
LOC651436	0.901863674396619	2.17254473599512e-10	1.63860565804538e-07	UP
LOC652140	-0.317722929097091	0.0010885423338478	0.00842642743344995	DOWN
LOC652624	0.339434429042846	5.68590729035999e-07	2.63637344792983e-05	UP
LOC652968	-0.292045953637578	0.00906362536717197	0.044222106097823	DOWN
LOC653226	0.302598002326455	6.2707800188473e-05	0.000911296978076159	UP
LOC653600	0.535710278832941	0.00568190645903572	0.0311143507862055	UP
LOC653773	0.52364315089269	1.26580157286582e-06	4.74979969970728e-05	UP
LOC654194	0.396416771047562	0.000702397081013837	0.00591267726154907	UP
LOC728358	0.590284411203422	0.00143281092449372	0.0104875376831313	UP
LOC728973	0.452633355844537	4.45445354815936e-08	4.62343671716522e-06	UP
LOC729466	0.289351409544025	1.57746692102371e-09	4.95740889194494e-07	UP
LOC730432	0.319889381189858	4.94981439950533e-07	2.35788316668646e-05	UP
LOC731640	0.362481274116549	0.000221179374825219	0.0024353409801315	UP
LRRN3	0.338597102834907	5.91244191372637e-06	0.000143234286061977	UP
LSM3	0.314064782426296	1.57148444925575e-08	2.20857010144781e-06	UP
LY6E	-0.302666326843946	0.00180679575712338	0.0125560097040635	DOWN
LY96	0.572617831118318	1.70363945595284e-08	2.32218373312318e-06	UP
LYPD2	-0.314943050764938	8.24838365098996e-08	6.91245099522036e-06	DOWN
MAP1S	-0.288864734499803	8.37694550820386e-06	0.000186560183084772	DOWN
MAP3K1	0.312456228222484	1.71824442006911e-07	1.13580555452908e-05	UP
MARCH7	0.497602969026927	3.26617858262463e-07	1.7765342016598e-05	UP
MED25	-0.308331255627948	9.14278360049464e-06	0.000199300351183422	DOWN
MLSTD2	0.390291757177675	2.07219170977088e-10	1.6168097178271e-07	UP
NDUFA4	0.60136496895853	2.61751790370561e-10	1.7131841762851e-07	UP
NDUFB2	0.302781946063091	2.24170963044672e-06	7.21524378493854e-05	UP
NDUFB3	0.391588466478577	2.64053878247268e-10	1.7131841762851e-07	UP
NDUFS4	0.313192275638757	9.98293329512358e-08	7.84318859960977e-06	UP
NKG7	-0.298430046185141	7.95141299796436e-05	0.00108793062456695	DOWN
NRGN	-0.536986660900942	4.30458653828502e-08	4.55139624307361e-06	DOWN
ORM1	0.434560645970127	0.00037254568701826	0.00361940371840368	UP
OSBP2	-0.324510084694575	0.0032004446548819	0.0197535355171884	DOWN
OXR1	0.36485528656997	4.40922181577084e-06	0.000115956340475065	UP
P2RY5	0.37252372883294	2.97292284804329e-07	1.66918921296962e-05	UP
PAPOLA	0.356937980096305	8.61522620906855e-08	7.08860812482161e-06	UP
PCMT1	0.327269067331958	8.00873901888182e-10	3.29479523236798e-07	UP
PCNP	0.384358449715016	4.3894957875704e-06	0.000115624122450938	UP
PFDN5	0.376893081071344	5.57557827309614e-07	2.59052586417549e-05	UP
PIGY	0.312131336803459	2.17187330579379e-08	2.80817013086835e-06	UP
PIP5K2A	-0.303422296525747	0.00608963237889511	0.03284627219005	DOWN
PJA2	0.387375214447131	4.26198797507272e-05	0.000671559901893944	UP
POLR2A	-0.301394193507665	4.80056840158774e-09	9.96536341492898e-07	DOWN
PPP1CC	0.349191363587854	6.86901936071066e-07	3.07228623938003e-05	UP
PPP1R2	0.293308232126966	1.00908205225759e-06	3.98978549543905e-05	UP
PPP2R1A	-0.296815478224056	1.9903733995265e-12	1.99456619306637e-08	DOWN
PRF1	-0.463255222844733	2.13428778827286e-08	2.77543274627873e-06	DOWN
PRKRIR	0.317954784153891	2.30699083671657e-05	0.00041493863811552	UP
PROK2	0.308168108428459	0.0105045880812561	0.0494460816547913	UP
PSMA4	0.306312271132175	9.53745426343246e-09	1.53052466396231e-06	UP
PSMA6	0.527519878856625	7.10170524341865e-13	1.60690284542834e-08	UP
PTEN	0.292663392412146	4.58513568754958e-07	2.22759611532591e-05	UP
RAB10	0.406636323552672	7.65381708970375e-07	3.27377919260353e-05	UP
RAB8B	0.477761699685928	2.52145266881721e-08	3.10070160528952e-06	UP
RAP2A	0.298533951773585	4.59140169997564e-07	2.22759611532591e-05	UP
RB1CC1	0.335246354565841	8.82609093203269e-06	0.000193515464650294	UP
RBM12B	0.310382085404678	9.9299079145982e-09	1.54954500954216e-06	UP
RBX1	0.416539287315448	3.50196907392065e-08	3.94224150425883e-06	UP
RCOR3	0.314628143604166	7.15881639814127e-07	3.13312453850566e-05	UP
REEP5	0.293409334302279	0.000292618971482151	0.00300548772933573	UP
RGS18	0.461709376979167	0.00012468379757165	0.00154502753978846	UP
RNASE2	0.289098250386596	0.00421122726494854	0.0245943612862883	UP
RNF10	-0.305813215184159	0.00074828317722775	0.00620880214562974	DOWN
RNF213	-0.444182453318396	0.000377933598707783	0.0036585341191375	DOWN
RPL15	0.301705479058569	4.15629026021704e-06	0.000111163569406538	UP
RPL17	0.604563962609669	1.27553034514551e-10	1.37435357712417e-07	UP
RPL21	0.369380850656446	1.13409721399422e-05	0.000235208227873944	UP
RPL23	0.580880082609669	5.14537500120292e-08	5.01042198153151e-06	UP
RPL26	0.516746433441629	3.47895895831193e-07	1.82641309396111e-05	UP
RPL27	0.444750706605738	2.23561931130964e-09	6.1689461167077e-07	UP
RPL30	0.319962014740566	1.206559980235e-07	8.92184074273767e-06	UP
RPL31	0.593005300305425	1.83241766472524e-08	2.46798300593679e-06	UP
RPL35A	0.30976867355346	9.16816945048904e-06	0.00019966137647374	UP
RPL39	0.596052203223271	5.46829954042997e-09	1.07070150340436e-06	UP
RPL7	0.304108913949095	4.05750397023429e-06	0.000108907642152421	UP
RPL9	0.564806430802086	3.8506518275715e-10	2.12509021713318e-07	UP
RPS15A	0.665092780415026	1.69560462951453e-10	1.47563253661635e-07	UP
RPS17	0.587086923651238	5.6423361054411e-10	2.67532020498286e-07	UP
RPS18	0.325395428154481	4.38175350342547e-05	0.000686606208601164	UP
RPS27	0.376304391793441	1.24683496240323e-06	4.70526421524326e-05	UP
RPS3A	0.687239649728772	1.27574780834278e-09	4.24505083226062e-07	UP
RPS4Y1	1.32006826869615	5.09488862532612e-05	0.000767523601366538	UP
RPS9	0.334019618492531	1.25924603302947e-07	9.10318210522613e-06	UP
RSBN1	0.385261133667649	9.5103544321249e-08	7.63910216091253e-06	UP
S100A12	0.387862797195362	0.00264284838517191	0.0169789126664636	UP
S100A8	0.505038106660772	7.10303174676282e-11	8.92890551855568e-08	UP
S100P	0.396509098557784	0.000728918621578449	0.0060806897316864	UP
SERPINA13	-0.420289793504324	0.00180854282184655	0.0125589898061405	DOWN
SLC35A1	0.29920829741077	8.37035282728601e-07	3.4624492399086e-05	UP
SLC38A2	0.327277689756681	1.84328395854115e-06	6.19861763515794e-05	UP
SLPI	0.313900151967964	3.25747204897525e-05	0.000545214565252236	UP
SMOX	-0.319727614253996	7.49501453029586e-07	3.21802075478187e-05	DOWN
SNHG5	0.320453293909591	0.00196220851677324	0.0134460606023707	UP
SNRPG	0.320760287218555	4.05175402436004e-06	0.000108882468300706	UP
SPOCK2	-0.326788117649372	4.90681906852995e-08	4.89103943011574e-06	DOWN
SPRYD3	-0.338106159893082	0.000632506989391138	0.00545832786001269	DOWN
SPTAN1	-0.308159185931997	7.69700029127173e-09	1.27124106270515e-06	DOWN
SSR1	0.293413230023388	2.91945469681485e-06	8.60466990573e-05	UP
SUZ12	0.51873003345853	3.27950291293987e-09	7.65003220732892e-07	UP
TAX1BP1	0.372442838249313	7.36307168685143e-08	6.37583518132389e-06	UP
TMCO1	0.44227531672445	1.48489366363761e-08	2.14176936344533e-06	UP
TMED5	0.447236639398389	1.29733179058027e-07	9.2894703878037e-06	UP
TMED7	0.290978700058373	7.59948469196339e-09	1.27124106270515e-06	UP
TMEM123	0.558645684626573	2.63755896374036e-06	8.06487117196664e-05	UP
TMEM126B	0.346612964073898	2.51109883511071e-10	1.7131841762851e-07	UP
TMEM158	-0.366404451374608	1.42056212480213e-05	0.000281956659630681	DOWN
TMEM71	0.316353911127161	9.29981021966837e-05	0.00122984690730822	UP
TNS1	-0.331737415110652	0.00136320746217031	0.0100966596551645	DOWN
TOMM7	0.351835471515331	1.8436689214042e-06	6.19861763515794e-05	UP
TPT1	0.300012372306407	8.23197196471125e-07	3.43029152201697e-05	UP
TRAM1	0.373368792919223	1.81384291716467e-05	0.000342300447762177	UP
TXN	0.312407693578812	2.26635412429792e-07	1.38972343551461e-05	UP
TXNDC1	0.421758213810929	1.16297644640617e-06	4.4375494186901e-05	UP
UBL3	0.296209768364387	2.5711806255964e-05	0.000449189172897989	UP
UCP2	-0.433201995280072	1.15142772612358e-06	4.40090458766863e-05	DOWN
UQCRQ	0.499426357155267	2.67087989294094e-09	6.86927861404266e-07	UP
USP15	0.296652373062892	1.53562921220825e-07	1.04031982588731e-05	UP
VAMP7	0.328498644595715	1.20391109796075e-09	4.0658054348594e-07	UP
VBP1	0.313122540167354	1.01983962429825e-08	1.5805418615751e-06	UP
VCAN	0.314007028535771	1.15098626551497e-05	0.000237621954651527	UP
VPS29	0.400621363094535	1.75522193798863e-11	4.49436441826535e-08	UP
VPS4B	0.287907889812303	4.57719058343476e-05	0.000709856691784636	UP
VWCE	-0.360367751885613	0.000379350169975193	0.00366661951987556	DOWN
WDFY1	0.399104767470714	1.8143863661134e-07	1.1797161007485e-05	UP
XIST	-0.35800716130503	0.000409968962069198	0.0038999104241753	DOWN
YPEL5	0.3892244788239	1.53470028646952e-07	1.04031982588731e-05	UP
ZBED5	0.315167355146226	2.16096136983592e-07	1.3359582763737e-05	UP
ZMPSTE24	0.332601585433766	2.44397305270355e-07	1.4668376197221e-05	UP
ZNF281	0.305322269592963	3.47861279527627e-07	1.82641309396111e-05	UP
ZNF683	-0.448282423111046	3.30729458424178e-06	9.36597679069322e-05	DOWN
