GeneSymbol	GO_term
ACRBP	nucleus
ACRBP	extracellular region
ACRBP	acrosomal vesicle
ACRBP	acrosomal membrane
ACRBP	cytoplasmic vesicle
ACRBP	acrosome assembly
ACRBP	spermatid development
ACRBP	fertilization
ACTN4	
ACTN4	protein binding
ACTN4	calcium ion binding
ACTN4	nucleus
ACTN4	RNA binding
ACTN4	cytoplasm
ACTN4	metal ion binding
ACTN4	actin binding
ACTN4	cytoskeleton
ACTN4	protein transport
ACTN4	perinuclear region of cytoplasm
ACTN4	actin cytoskeleton
ACTN4	stress fiber
ACTN4	ribonucleoprotein complex
ACTN4	anchoring junction
ACTN4	protein homodimerization activity
ACTN4	plasma membrane
ACTN4	extracellular region
ACTN4	extracellular space
ACTN4	positive regulation of transcription by RNA polymerase II
ACTN4	protein-containing complex
ACTN4	focal adhesion
ACTN4	transmembrane transporter binding
ACTN4	actin filament binding
ACTN4	regulation of apoptotic process
ACTN4	RNA polymerase II transcription regulatory region sequence-specific DNA binding
ACTN4	extracellular exosome
ACTN4	nuclear retinoic acid receptor binding
ACTN4	positive regulation of cell migration
ACTN4	transcription coactivator activity
ACTN4	cell junction
ACTN4	pseudopodium
ACTN4	actin cytoskeleton organization
ACTN4	Z disc
ACTN4	positive regulation of non-canonical NF-kappaB signal transduction
ACTN4	integrin binding
ACTN4	cortical actin cytoskeleton
ACTN4	platelet alpha granule lumen
ACTN4	negative regulation of substrate adhesion-dependent cell spreading
ACTN4	tumor necrosis factor-mediated signaling pathway
ACTN4	cell projection
ACTN4	chromatin DNA binding
ACTN4	nuclear receptor binding
ACTN4	retinoic acid receptor signaling pathway
ACTN4	nucleoside binding
ACTN4	vesicle transport along actin filament
ACTN4	positive regulation of sodium:proton antiporter activity
ACTN4	peroxisome proliferator activated receptor signaling pathway
ACTN4	muscle cell development
ACTN4	postsynaptic actin cytoskeleton
ACTN4	organelle
ANKRD12	
ANKRD12	protein binding
ANKRD12	nucleus
ANKRD12	cytosol
ANKRD12	nucleoplasm
ANXA1	
ANXA1	calcium ion binding
ANXA1	calcium-dependent phospholipid binding
ANXA1	phospholipase inhibitor activity
ANXA1	nucleus
ANXA1	cytoplasm
ANXA1	extracellular region
ANXA1	plasma membrane
ANXA1	membrane
ANXA1	cytosol
ANXA1	nucleoplasm
ANXA1	endosome membrane
ANXA1	apical plasma membrane
ANXA1	basolateral plasma membrane
ANXA1	cilium
ANXA1	phospholipase A2 inhibitor activity
ANXA1	phagocytic cup
ANXA1	lateral plasma membrane
ANXA1	metal ion binding
ANXA1	endosome
ANXA1	protein binding
ANXA1	signal transduction
ANXA1	negative regulation of apoptotic process
ANXA1	innate immune response
ANXA1	early endosome membrane
ANXA1	motile cilium
ANXA1	vesicle
ANXA1	adaptive immune response
ANXA1	extracellular space
ANXA1	regulation of cell shape
ANXA1	early endosome
ANXA1	focal adhesion
ANXA1	inflammatory response
ANXA1	actin cytoskeleton organization
ANXA1	cornified envelope
ANXA1	phagocytosis
ANXA1	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger
ANXA1	extracellular exosome
ANXA1	positive regulation of T cell proliferation
ANXA1	calcium-dependent protein binding
ANXA1	collagen-containing extracellular matrix
ANXA1	cell-cell adhesion
ANXA1	cell surface
ANXA1	cadherin binding involved in cell-cell adhesion
ANXA1	adherens junction
ANXA1	cell surface receptor signaling pathway
ANXA1	signaling receptor binding
ANXA1	positive regulation of cell migration involved in sprouting angiogenesis
ANXA1	lipid binding
ANXA1	regulation of inflammatory response
ANXA1	cellular response to vascular endothelial growth factor stimulus
ANXA1	keratinocyte differentiation
ANXA1	positive regulation of interleukin-2 production
ANXA1	negative regulation of interleukin-8 production
ANXA1	actin filament
ANXA1	positive regulation of T-helper 1 cell differentiation
ANXA1	negative regulation of T-helper 2 cell differentiation
ANXA1	phosphatidylserine binding
ANXA1	vesicle membrane
ANXA1	phospholipid binding
ANXA1	peptide cross-linking
ANXA1	monocyte chemotaxis
ANXA1	neutrophil homeostasis
ANXA1	regulation of leukocyte migration
ANXA1	myoblast migration involved in skeletal muscle regeneration
ANXA1	positive regulation of vesicle fusion
ANXA1	regulation of interleukin-1 production
ANXA1	positive regulation of neutrophil apoptotic process
ANXA1	neutrophil activation
ANXA1	regulation of cell population proliferation
ANXA1	negative regulation of exocytosis
ANXA1	alpha-beta T cell differentiation
ANXA1	regulation of hormone secretion
ANXA1	arachidonic acid secretion
ANXA1	cellular response to glucocorticoid stimulus
ANXA1	granulocyte chemotaxis
ANXA1	positive regulation of wound healing
ANXA1	neutrophil clearance
ANXA1	positive regulation of G1/S transition of mitotic cell cycle
ANXA1	sarcolemma
AP1S2	intracellular protein transport
AP1S2	vesicle-mediated transport
AP1S2	membrane coat
AP1S2	protein transport
AP1S2	clathrin adaptor activity
AP1S2	AP-1 adaptor complex
AP1S2	cytoplasm
AP1S2	Golgi apparatus
AP1S2	clathrin-coated pit
AP1S2	cytoplasmic vesicle membrane
AP1S2	cytoplasmic vesicle
AP1S2	protein binding
AP1S2	intracellular membrane-bounded organelle
AP1S2	cytosol
AP1S2	trans-Golgi network membrane
AP1S2	platelet dense granule organization
AP1S2	melanosome assembly
AP1S2	early endosome
AP1S2	Golgi membrane
AP1S2	lysosomal membrane
AP1S2	AP-type membrane coat adaptor complex
AP1S2	membrane
AP1S2	endomembrane system
ARG1	
ARG1	metal ion binding
ARG1	arginase activity
ARG1	arginine metabolic process
ARG1	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines
ARG1	hydrolase activity
ARG1	urea cycle
ARG1	nucleus
ARG1	cytoplasm
ARG1	innate immune response
ARG1	adaptive immune response
ARG1	extracellular region
ARG1	extracellular space
ARG1	protein binding
ARG1	cytosol
ARG1	specific granule lumen
ARG1	azurophil granule lumen
ARG1	negative regulation of T cell proliferation
ARG1	arginine catabolic process
ARG1	manganese ion binding
ARG1	arginine catabolic process to ornithine
ARG1	negative regulation of type II interferon-mediated signaling pathway
ARG1	positive regulation of neutrophil mediated killing of fungus
ARG1	response to nematode
ARG1	defense response to protozoan
ARG1	negative regulation of activated T cell proliferation
ARG1	negative regulation of T-helper 2 cell cytokine production
ARGLU1	nucleus
ARGLU1	RNA binding
ARGLU1	mRNA processing
ARGLU1	RNA splicing
ARGLU1	nuclear speck
ARGLU1	cytosol
ARGLU1	nucleoplasm
ARGLU1	mitochondrion
ARGLU1	protein binding
ARGLU1	positive regulation of DNA-templated transcription
ARGLU1	chromosome
ARGLU1	regulation of alternative mRNA splicing, via spliceosome
ARGLU1	cadherin binding
ARGLU1	transcription coactivator activity
ARGLU1	pre-mRNA binding
ARGLU1	
ARHGDIA	protein binding
ARHGDIA	cytoplasm
ARHGDIA	Rho GDP-dissociation inhibitor activity
ARHGDIA	Rho protein signal transduction
ARHGDIA	cytoskeleton
ARHGDIA	negative regulation of apoptotic process
ARHGDIA	GTPase activator activity
ARHGDIA	membrane
ARHGDIA	cytosol
ARHGDIA	extracellular exosome
ARHGDIA	semaphorin-plexin signaling pathway
ARHGDIA	regulation of Rho protein signal transduction
ARHGDIA	
ARHGDIA	regulation of protein localization
ARHGDIA	regulation of synaptic vesicle cycle
ARHGDIA	immunological synapse
ARHGDIA	nucleus
ARHGDIA	Schaffer collateral - CA1 synapse
ASNSD1	asparagine synthase (glutamine-hydrolyzing) activity
ASNSD1	asparagine biosynthetic process
ASNSD1	
ASNSD1	molecular_function
ASNSD1	biological_process
ASNSD1	cellular_component
ASNSD1	muscle organ development
ASNSD1	skeletal muscle tissue development
ASNSD1	transdifferentiation
ASNSD1	skeletal muscle organ development
ASNSD1	adipose tissue development
ATP6V1G1	proton-transporting ATPase activity, rotational mechanism
ATP6V1G1	proton transmembrane transport
ATP6V1G1	vacuolar proton-transporting V-type ATPase complex
ATP6V1G1	plasma membrane
ATP6V1G1	protein binding
ATP6V1G1	apical plasma membrane
ATP6V1G1	cytosol
ATP6V1G1	lysosomal membrane
ATP6V1G1	intracellular iron ion homeostasis
ATP6V1G1	ATPase binding
ATP6V1G1	synaptic vesicle membrane
ATP6V1G1	extracellular exosome
ATP6V1G1	ATP hydrolysis activity
ATP6V1G1	vacuolar proton-transporting V-type ATPase, V1 domain
ATP6V1G1	regulation of macroautophagy
ATP6V1G1	cellular response to increased oxygen levels
ATP6V1G1	synaptic vesicle lumen acidification
ATP6V1G1	proton-transporting V-type ATPase complex
ATP6V1G1	proton-transporting V-type ATPase, V1 domain
ATP6V1G1	ATPase complex
ATP6V1G1	
BAZ2B	DNA binding
BAZ2B	protein binding
BAZ2B	nucleus
BAZ2B	zinc ion binding
BAZ2B	chromatin
BAZ2B	chromatin remodeling
BAZ2B	regulation of transcription by RNA polymerase II
BAZ2B	
BNIP2	cytoplasm
BNIP2	intracellular membrane-bounded organelle
BNIP2	cytosol
BNIP2	calcium ion binding
BNIP2	protein binding
BNIP2	negative regulation of apoptotic process
BNIP2	apoptotic process
BNIP2	nuclear envelope
BNIP2	perinuclear region of cytoplasm
BNIP2	nucleolus
BNIP2	GTPase activator activity
BNIP2	response to oxygen-glucose deprivation
BNIP2	
BTAF1	DNA binding
BTAF1	ATP binding
BTAF1	ATP hydrolysis activity
BTAF1	TBP-class protein binding
BTAF1	nucleus
BTAF1	nucleoplasm
BTAF1	hydrolase activity
BTAF1	protein binding
BTAF1	intracellular membrane-bounded organelle
BTAF1	helicase activity
BTAF1	negative regulation of DNA-templated transcription
BTAF1	transcription coregulator activity
BTAF1	negative regulation of chromatin binding
BTAF1	ATP-dependent activity, acting on DNA
BTAF1	
C15orf39	
C15orf39	cytosol
CAB39	cytoplasm
CAB39	protein binding
CAB39	extracellular region
CAB39	cytosol
CAB39	extracellular exosome
CAB39	intracellular signal transduction
CAB39	serine/threonine protein kinase complex
CAB39	secretory granule lumen
CAB39	ficolin-1-rich granule lumen
CAB39	kinase binding
CAB39	protein kinase activator activity
CAB39	signal transduction
CAB39	protein serine/threonine kinase activator activity
CAB39	cellular hypotonic response
CAB39	negative regulation of potassium ion transmembrane transport
CAB39	protein serine/threonine kinase binding
CAB39	response to activity
CAB39	positive regulation of protein serine/threonine kinase activity
CAB39	response to thyroid hormone
CAB39	Z disc
CAB39	protein-containing complex
CAB39	
CAMP	extracellular region
CAMP	defense response
CAMP	defense response to bacterium
CAMP	innate immune response
CAMP	vesicle
CAMP	extracellular space
CAMP	protein binding
CAMP	defense response to Gram-positive bacterium
CAMP	positive regulation of cell population proliferation
CAMP	positive regulation of angiogenesis
CAMP	defense response to Gram-negative bacterium
CAMP	killing by host of symbiont cells
CAMP	antimicrobial humoral immune response mediated by antimicrobial peptide
CAMP	cellular response to lipopolysaccharide
CAMP	cellular response to peptidoglycan
CAMP	cellular response to interleukin-1
CAMP	cellular response to interleukin-6
CAMP	cellular response to tumor necrosis factor
CAMP	specific granule
CAMP	cell projection
CAMP	extracellular exosome
CAMP	innate immune response in mucosa
CAMP	antibacterial humoral response
CAMP	lipopolysaccharide binding
CAMP	specific granule lumen
CAMP	tertiary granule lumen
CAMP	neutrophil activation
CAMP	amyloid fibril formation
CAMP	cytolysis
CAPZA2	membrane
CAPZA2	
CAPZA2	barbed-end actin filament capping
CAPZA2	F-actin capping protein complex
CAPZA2	actin binding
CAPZA2	extracellular region
CAPZA2	protein binding
CAPZA2	actin filament capping
CAPZA2	cytosol
CAPZA2	extracellular exosome
CAPZA2	brush border
CAPZA2	cortical cytoskeleton
CAPZA2	actin filament binding
CAPZA2	actin cytoskeleton organization
CAPZA2	protein-containing complex assembly
CAPZA2	actin cytoskeleton
CARM1	protein-arginine N-methyltransferase activity
CARM1	peptidyl-arginine methylation
CARM1	nucleus
CARM1	cytoplasm
CARM1	methyltransferase activity
CARM1	methylation
CARM1	cytosol
CARM1	nucleoplasm
CARM1	protein binding
CARM1	regulation of DNA-templated transcription
CARM1	chromosome
CARM1	chromatin organization
CARM1	transcription cis-regulatory region binding
CARM1	chromatin remodeling
CARM1	histone H4R3 methyltransferase activity
CARM1	transcription coactivator activity
CARM1	histone H3R17 methyltransferase activity
CARM1	histone H3K37 methyltransferase activity
CARM1	histone H3R2 methyltransferase activity
CARM1	histone H3R8 methyltransferase activity
CARM1	histone H3K56 methyltransferase activity
CARM1	histone H3R26 methyltransferase activity
CARM1	histone H4K12 methyltransferase activity
CARM1	histone H2AQ104 methyltransferase activity
CARM1	protein methyltransferase activity
CARM1	protein-arginine omega-N asymmetric methyltransferase activity
CARM1	DNA-binding transcription factor binding
CARM1	lysine-acetylated histone binding
CARM1	histone methyltransferase activity
CARM1	positive regulation of fat cell differentiation
CARM1	regulation of intracellular estrogen receptor signaling pathway
CARM1	replication fork reversal
CARM1	nuclear replication fork
CARM1	positive regulation of transcription by RNA polymerase I
CARM1	beta-catenin binding
CARM1	positive regulation of epithelial cell apoptotic process
CARM1	histone arginine N-methyltransferase activity
CARM1	positive regulation of cell population proliferation
CARM1	response to cAMP
CARM1	negative regulation of dendrite development
CARM1	
CD3E	
CD3E	membrane
CD3E	cell surface receptor signaling pathway
CD3E	transmembrane signaling receptor activity
CD3E	plasma membrane
CD3E	endoplasmic reticulum
CD3E	Golgi apparatus
CD3E	SH3 domain binding
CD3E	protein binding
CD3E	adaptive immune response
CD3E	alpha-beta T cell receptor complex
CD3E	external side of plasma membrane
CD3E	positive regulation of gene expression
CD3E	protein kinase binding
CD3E	regulation of apoptotic process
CD3E	negative regulation of gene expression
CD3E	protein-containing complex assembly
CD3E	positive regulation of T cell proliferation
CD3E	G protein-coupled receptor signaling pathway
CD3E	T cell activation
CD3E	T cell receptor signaling pathway
CD3E	cell surface receptor protein tyrosine kinase signaling pathway
CD3E	positive regulation of cell-matrix adhesion
CD3E	identical protein binding
CD3E	signaling receptor complex adaptor activity
CD3E	positive regulation of cell-cell adhesion mediated by integrin
CD3E	T cell receptor binding
CD3E	positive thymic T cell selection
CD3E	alpha-beta T cell activation
CD3E	T cell receptor complex
CD3E	positive regulation of T cell anergy
CD3E	T cell anergy
CD3E	signal complex assembly
CD3E	smoothened signaling pathway
CD3E	dendrite development
CD3E	calcium-mediated signaling
CD3E	cerebellum development
CD3E	T cell costimulation
CD3E	positive regulation of type II interferon production
CD3E	positive regulation of interleukin-2 production
CD3E	positive regulation of interleukin-4 production
CD3E	CD4-positive, alpha-beta T cell proliferation
CD3E	T cell proliferation
CD3E	negative thymic T cell selection
CD3E	negative regulation of smoothened signaling pathway
CD3E	gamma-delta T cell activation
CD3E	lymphocyte activation
CD3E	positive regulation of calcium-mediated signaling
CD3E	positive regulation of T cell activation
CD3E	apoptotic signaling pathway
CD3E	positive regulation of CD4-positive, alpha-beta T cell proliferation
CD3E	immunological synapse
CD3E	cell-cell junction
CD3E	dendritic spine
CD3E	cell body
CD3E	gamma-delta T cell receptor complex
CD48	membrane
CD48	signal transduction
CD48	extracellular region
CD48	plasma membrane
CD48	protein binding
CD48	membrane raft
CD48	immune response
CD48	receptor ligand activity
CD48	side of membrane
CD48	extracellular exosome
CD48	natural killer cell activation
CD48	defense response
CD52	
CD52	plasma membrane
CD52	extracellular region
CD52	side of membrane
CD52	sperm midpiece
CD52	membrane
CD52	positive regulation of cytosolic calcium ion concentration
CD52	respiratory burst
CD74	membrane
CD74	immune response
CD74	antigen processing and presentation
CD74	intracellular protein transport
CD74	MHC class II protein binding
CD74	protein trimerization
CD74	macrophage migration inhibitory factor binding
CD74	extracellular region
CD74	plasma membrane
CD74	Golgi apparatus
CD74	endosome
CD74	protein binding
CD74	endoplasmic reticulum
CD74	endoplasmic reticulum membrane
CD74	negative regulation of apoptotic process
CD74	lysosome
CD74	prostaglandin biosynthetic process
CD74	cytoplasm
CD74	adaptive immune response
CD74	late endosome
CD74	identical protein binding
CD74	protein stabilization
CD74	extracellular exosome
CD74	protein-containing complex assembly
CD74	cell surface
CD74	protein folding chaperone
CD74	trans-Golgi network membrane
CD74	positive regulation of gene expression
CD74	positive regulation of interleukin-6 production
CD74	positive regulation of interleukin-8 production
CD74	Golgi membrane
CD74	endocytic vesicle membrane
CD74	lysosomal lumen
CD74	nucleus
CD74	negative regulation of cell migration
CD74	positive regulation of ERK1 and ERK2 cascade
CD74	positive regulation of neutrophil chemotaxis
CD74	ER to Golgi transport vesicle membrane
CD74	lysosomal membrane
CD74	cytokine binding
CD74	clathrin-coated endocytic vesicle membrane
CD74	positive regulation of cytokine-mediated signaling pathway
CD74	response to type II interferon
CD74	positive regulation of DNA-templated transcription
CD74	lumenal side of endoplasmic reticulum membrane
CD74	regulation of macrophage activation
CD74	negative regulation of DNA damage response, signal transduction by p53 class mediator
CD74	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
CD74	cytokine receptor activity
CD74	protein-containing complex
CD74	positive regulation of fibroblast proliferation
CD74	amyloid-beta binding
CD74	positive regulation of chemokine (C-X-C motif) ligand 2 production
CD74	T cell activation involved in immune response
CD74	positive regulation of chemokine production
CD74	positive regulation of prostaglandin biosynthetic process
CD74	MHC class II protein complex binding
CD74	positive regulation of protein phosphorylation
CD74	positive regulation of kinase activity
CD74	positive regulation of canonical NF-kappaB signal transduction
CD74	positive regulation of MAPK cascade
CD74	T cell selection
CD74	positive regulation of monocyte differentiation
CD74	positive regulation of viral entry into host cell
CD74	transport vesicle membrane
CD74	CD4 receptor binding
CD74	MHC class II protein binding, via antigen binding groove
CD74	nitric-oxide synthase binding
CD74	positive regulation of dendritic cell antigen processing and presentation
CD74	negative regulation of peptide secretion
CD74	positive regulation of type 2 immune response
CD74	negative regulation of mature B cell apoptotic process
CD74	defense response
CD74	immunoglobulin mediated immune response
CD74	antigen processing and presentation of endogenous antigen
CD74	antigen processing and presentation of exogenous peptide antigen via MHC class II
CD74	positive regulation of B cell proliferation
CD74	macrophage migration inhibitory factor signaling pathway
CD74	positive thymic T cell selection
CD74	negative thymic T cell selection
CD74	negative regulation of T cell differentiation
CD74	positive regulation of T cell differentiation
CD74	chaperone cofactor-dependent protein refolding
CD74	positive regulation of macrophage cytokine production
CD74	positive regulation of macrophage migration inhibitory factor signaling pathway
CD74	multivesicular body
CD74	vacuole
CD74	external side of plasma membrane
CD74	macrophage migration inhibitory factor receptor complex
CD74	NOS2-CD74 complex
CD74	MHC class II protein complex
CD74	
CDKN1C	nucleus
CDKN1C	regulation of cell cycle
CDKN1C	cyclin-dependent protein serine/threonine kinase inhibitor activity
CDKN1C	protein kinase inhibitor activity
CDKN1C	
CDKN1C	cytoplasm
CDKN1C	protein binding
CDKN1C	positive regulation of DNA-templated transcription
CDKN1C	negative regulation of DNA-templated transcription
CDKN1C	positive regulation of transforming growth factor beta receptor signaling pathway
CDKN1C	molecular function inhibitor activity
CDKN1C	negative regulation of mitotic cell cycle
CDKN1C	negative regulation of epithelial cell proliferation
CDKN1C	negative regulation of phosphorylation
CDKN1C	protein-containing complex binding
CDKN1C	negative regulation of kinase activity
CDKN1C	negative regulation of cyclin-dependent protein kinase activity
CDKN1C	negative regulation of transcription by RNA polymerase II
CDKN1C	skeletal system development
CDKN1C	kidney development
CDKN1C	placenta development
CDKN1C	regulation of exit from mitosis
CDKN1C	myeloid cell differentiation
CDKN1C	adrenal gland development
CDKN1C	multicellular organism growth
CDKN1C	neuron maturation
CDKN1C	camera-type eye development
CDKN1C	digestive system development
CDKN1C	uterus development
CDKN1C	embryonic placenta morphogenesis
CDKN1C	genomic imprinting
CDKN1C	regulation of lens fiber cell differentiation
CEACAM8	plasma membrane
CEACAM8	protein binding
CEACAM8	cell adhesion
CEACAM8	extracellular space
CEACAM8	cell surface
CEACAM8	side of membrane
CEACAM8	extracellular exosome
CEACAM8	protein heterodimerization activity
CEACAM8	specific granule membrane
CEACAM8	tertiary granule membrane
CEACAM8	immune response
CEACAM8	azurophil granule membrane
CEACAM8	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
CEACAM8	
CHD9	ATP binding
CHD9	protein binding
CHD9	nucleus
CHD9	cytoplasm
CHD9	cytosol
CHD9	nucleoplasm
CHD9	hydrolase activity
CHD9	DNA binding
CHD9	helicase activity
CHD9	chromatin organization
CHD9	four-way junction helicase activity
CHD9	double-stranded DNA helicase activity
CHD9	forked DNA-dependent helicase activity
CHD9	single-stranded 3'-5' DNA helicase activity
CHD9	ATP hydrolysis activity
CHD9	
CHURC1	zinc ion binding
CHURC1	multicellular organism development
CHURC1	positive regulation of DNA-templated transcription
CHURC1	metal ion binding
CHURC1	protein binding
CHURC1	fibroblast growth factor receptor signaling pathway
CHURC1	
CLDND1	membrane
CLDND1	protein binding
CLDND1	cell surface
CLDND1	apical plasma membrane
CLDND1	
CLIC3	nucleus
CLIC3	cytoplasm
CLIC3	extracellular region
CLIC3	plasma membrane
CLIC3	protein binding
CLIC3	oxidoreductase activity
CLIC3	nuclear body
CLIC3	monoatomic ion transmembrane transport
CLIC3	extracellular matrix
CLIC3	chloride channel activity
CLIC3	chloride transport
CLIC3	chloride transmembrane transport
CLIC3	chloride channel complex
CLIC3	membrane
CLIC3	extracellular exosome
CLIC3	signal transduction
CLIC3	positive regulation of sprouting angiogenesis
CLIC3	protein-disulfide reductase (glutathione) activity
CLIC3	
CMPK1	ATP binding
CMPK1	nucleobase-containing compound kinase activity
CMPK1	nucleobase-containing compound metabolic process
CMPK1	'de novo' pyrimidine nucleobase biosynthetic process
CMPK1	pyrimidine nucleotide biosynthetic process
CMPK1	cytidylate kinase activity
CMPK1	UMP/dUMP kinase activity
CMPK1	nucleus
CMPK1	cytoplasm
CMPK1	nucleoplasm
CMPK1	protein binding
CMPK1	kinase activity
CMPK1	nucleolus
CMPK1	nucleoside monophosphate phosphorylation
CMPK1	nucleoside diphosphate kinase activity
CMPK1	pyrimidine-containing compound biosynthetic process
CMPK1	cytosol
CMPK1	extracellular exosome
CMPK1	nucleobase-containing small molecule interconversion
CMPK1	CMP kinase activity
CMPK1	dCMP kinase activity
CMPK1	nucleoside monophosphate kinase activity
CMPK1	UDP biosynthetic process
CMPK1	uridine kinase activity
CMPK1	UMP kinase activity
CMPK1	UMP biosynthetic process
CMPK1	pyrimidine ribonucleotide biosynthetic process
CMPK1	CDP biosynthetic process
CMPK1	nucleotide metabolic process
CMPK1	phosphotransferase activity, phosphate group as acceptor
CMPK1	nucleoside monophosphate metabolic process
CMPK1	
CMTM6	membrane
CMTM6	plasma membrane
CMTM6	endosome
CMTM6	protein binding
CMTM6	protein transport
CMTM6	recycling endosome membrane
CMTM6	early endosome membrane
CMTM6	endocytic recycling
CMTM6	specific granule membrane
CMTM6	regulation of protein stability
CMTM6	azurophil granule membrane
CMTM6	
CNIH4	vesicle-mediated transport
CNIH4	membrane
CNIH4	protein binding
CNIH4	endoplasmic reticulum
CNIH4	protein transport
CNIH4	endoplasmic reticulum-Golgi intermediate compartment
CNIH4	endoplasmic reticulum to Golgi vesicle-mediated transport
CNIH4	endoplasmic reticulum membrane
CNIH4	signaling receptor binding
CNIH4	COPII-coated ER to Golgi transport vesicle
CNIH4	CCR5 chemokine receptor binding
CNIH4	
COMMD3	
COMMD3	sodium ion transport
COMMD3	nucleus
COMMD3	cytoplasm
COMMD3	protein binding
COMMD3	extracellular region
COMMD3	ficolin-1-rich granule lumen
COMMD6	nucleus
COMMD6	cytoplasm
COMMD6	protein binding
COMMD6	signal transduction
COMMD6	NF-kappaB binding
COMMD6	negative regulation of NF-kappaB transcription factor activity
COMMD6	
COX7A2	mitochondrial electron transport, cytochrome c to oxygen
COX7A2	respiratory chain complex IV
COX7A2	mitochondrion
COX7A2	mitochondrial inner membrane
COX7A2	
COX7A2	protein binding
COX7A2	oxidoreductase activity
COX7A2	oxidative phosphorylation
COX7A2	mitochondrial respirasome assembly
COX7A2	respiratory chain complex
COX7A2	cellular respiration
COX7A2	mitochondrial membrane
COX7B	mitochondrial electron transport, cytochrome c to oxygen
COX7B	mitochondrion
COX7B	mitochondrial inner membrane
COX7B	oxidative phosphorylation
COX7B	protein binding
COX7B	proton transmembrane transport
COX7B	central nervous system development
COX7B	cellular respiration
COX7B	mitochondrial membrane
COX7B	respiratory chain complex IV
COX7B	cytochrome-c oxidase activity
COX7B	
COX7C	mitochondrial electron transport, cytochrome c to oxygen
COX7C	respiratory chain complex IV
COX7C	mitochondrion
COX7C	protein binding
COX7C	mitochondrial inner membrane
COX7C	oxidative phosphorylation
COX7C	cellular respiration
COX7C	mitochondrial membrane
COX7C	generation of precursor metabolites and energy
COX7C	
CPD	zinc ion binding
CPD	proteolysis
CPD	metallocarboxypeptidase activity
CPD	plasma membrane
CPD	membrane
CPD	metal ion binding
CPD	metallopeptidase activity
CPD	carboxypeptidase activity
CPD	extracellular space
CPD	extracellular exosome
CPD	protein processing
CPD	serine-type carboxypeptidase activity
CPD	peptide metabolic process
CPD	
CPD	hydrolase activity
CRBN	nucleus
CRBN	cytoplasm
