Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
defense response to bacterium (GO:0042742)	10/176	8.40452521926089e-06	0.000349292068112483	10	0.0568181818181818	RPL30;SLPI;DEFA4;S100A12;DEFA3;DEFA1;RNASE2;RPL39;S100A8;CAMP
defense response to Gram-positive bacterium (GO:0050830)	6/70	5.86475578803869e-05	0.00234364663991238	6	0.0857142857142857	DEFA4;DEFA3;DEFA1;RNASE2;RPL39;CAMP
defense response to Gram-negative bacterium (GO:0050829)	6/73	7.4342539365021e-05	0.00286081105186136	6	0.0821917808219178	RPL30;DEFA4;DEFA3;DEFA1;RNASE2;CAMP
protein secretion (GO:0009306)	5/64	0.000381886176539861	0.0141707049080327	5	0.078125	ABCA1;RAB10;CYB5R4;ANXA1;RAB8B
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	4/39	0.000530842973313074	0.0188582286320962	4	0.102564102564103	NDUFA4;NDUFB3;NDUFS4;NDUFB2
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	3/17	0.000544510932591806	0.0188582286320962	3	0.176470588235294	COX7B;NDUFA4;COX7C
innate immune response (GO:0045087)	10/302	0.000730650321829366	0.0244885704638939	10	0.033112582781457	SLPI;DEFA4;CAPZA2;S100A12;DEFA3;DEFA1;RNASE2;RPL39;CAMP;PJA2
defense response to fungus (GO:0050832)	3/24	0.00154218015352075	0.0500726618596269	3	0.125	DEFA4;S100A12;S100A8
mitochondrial respiratory chain complex I assembly (GO:0032981)	4/58	0.0023748626446292	0.0725730084638159	4	0.0689655172413793	NDUFS4;NDUFB3;NDUFB2;TMEM126B
NADH dehydrogenase complex assembly (GO:0010257)	4/58	0.0023748626446292	0.0725730084638159	4	0.0689655172413793	NDUFS4;NDUFB3;NDUFB2;TMEM126B
ribonucleoprotein complex biogenesis (GO:0022613)	4/60	0.00268908021474897	0.0798272669464052	4	0.0666666666666667	RPS17;RPL35A;RPL26;RPL7
negative regulation of exocytosis (GO:0045920)	2/9	0.00318963839480031	0.0920565081165978	2	0.222222222222222	ANXA1;VPS4B
response to lipopolysaccharide (GO:0032496)	6/159	0.00450696463539689	0.126560439356145	6	0.0377358490566038	SLPI;DEFA4;LY96;DEFA3;DEFA1;S100A8
response to lipid (GO:0033993)	5/114	0.00499490239408542	0.136571147038283	5	0.043859649122807	ANXA1;SLPI;VPS4B;LY96;S100A8
